Route,Layout,Page Archetype,Component Family Used,Responsive Status,Loading State,Empty State,Error State,Keyboard Status,Screenshot Status,Migration Priority
/(auth)/2fa/challenge,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/2fa,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/forgot-password,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/login,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/otp,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/register,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/reset-password,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(auth)/screen-lock,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/agents,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/audit-logs,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/clients,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/commissions,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/communications/logs,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/communications/providers,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/communications/queue,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/pricing,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/providers,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/sender-ids,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/system,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/admin/users,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/agent/clients,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/agent/commissions,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/agent/dashboard,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/agent/earnings,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/billing,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts/groups,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts/import,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts/segments,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts/tags,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/contacts/[id],layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/dashboard,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/developer/api-keys,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/developer/api-usage,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/developer/webhooks,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/examples/auth,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/examples,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/examples/ui,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/gateways/add,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/gateways,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/notifications,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/profile,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/reports/campaigns,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/reports/financial,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/reports/sms,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/reports/usage,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sender-ids/apply,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sender-ids,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/settings/account,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/settings/notifications,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/settings,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/settings/security,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/settings/sms,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/campaigns/new,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/campaigns,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/campaigns/[id],layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/custom,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/delivery-reports,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
